wd_name,cluster,ra,dec,coord_source,gaiadr3,gaia_supported,logg,logg_err_plus,logg_err_minus,teff,teff_err_plus,teff_err_minus,spectrum_fit_source,mass,mass_err_plus,mass_err_minus,tcool,tcool_err_plus,tcool_err_minus,rad,rad_err_plus,rad_err_minus,prog_mass,prog_mass_err_plus,prog_mass_err_minus,ifmr_source,simbad_name,miller2026a_name,miller2026a_literature_name
ABDor-WD-J034850-005834,AB Dor,57.209484,-0.97636,gaiadr3,3251244858154433536,y,9.2,0.07,0.07,42700,800,800,2011ApJ...743..138G,1.249,0.019,0.019,71.0,18.0,17.0,3300,200,200,6.5,1.2,0.8,2026ApJ...996...69M,Gaia DR3 3251244858154433536,,GD 50
AlphaPer-WD-J025843+502052,Alpha Per,44.680456,50.347782,gaiadr3,439597809786357248,y,9.05,0.03,0.03,41600,200,200,2022ApJ...926L..24M,1.201,0.012,0.012,45.0,6.0,5.0,3780,110,110,8.3,0.9,0.8,2026ApJ...996...69M,Gaia DR3  439597809786357248,,Alpha Per WD1
AlphaPer-WD-J035658+450111,Alpha Per,59.241703,45.019763,gaiadr3,244003693457188608,y,8.98,0.04,0.04,46200,300,300,2022ApJ...926L..24M,1.175,0.016,0.016,13.0,5.0,4.0,4050,150,150,6.2,0.3,0.3,2026ApJ...996...69M,Gaia DR3  244003693457188608,,Alpha Per WD2
AlphaPer-WD-J222814+453434,Alpha Per,337.06159,45.576203,gaiadr3,1983126553936914816,y,8.84,0.05,0.05,47500,500,500,2022ApJ...926L..24M,1.11,0.02,0.02,2.5,1.2,0.2,4600,200,200,5.83,0.21,0.18,2026ApJ...996...69M,Gaia DR3 1983126553936914816,,Alpha Per WD5
ASCC113-WD-J210046+363339,ASCC 113,315.193205,36.560859,gaiadr3,1871306874227157376,y,8.71,0.07,0.07,25400,300,300,2021ApJ...912..165R,1.06,0.02,0.04,148.0,19.0,19.0,5200,300,300,4.7,0.3,0.4,2026ApJ...996...69M,Gaia DR3 1871306874227157376,,ASCC 113
ASCC47-WD-J083224-393543,ASCC 47,128.101248,-39.595373,gaiadr3,5529347562661865088,y,8.47,0.05,0.05,114000,3000,3000,2020ApJ...901L..14C,1.01,0.02,0.02,0.069,0.015,0.012,6700,300,300,5.5,0.5,0.4,2026ApJ...996...69M,Gaia DR3 5529347562661865088,,ASCC 47
BH99-WD-J103845-585024,BH 99,159.69086,-58.840215,gaiadr3,5350664076917572352,y,8.61,0.07,0.07,52900,1100,1100,2026ApJ...996...69M,1.03,0.03,0.04,1.46,0.15,0.12,5800,400,400,5.9,0.9,0.3,2026ApJ...996...69M,Gaia DR3 5350664076917572352,BH 99,
HSC601-WD-J202039+371324,HSC 601,305.163037,37.2236,gaiadr3,2060960191793682176,y,8.41,0.04,0.04,32900,200,200,2026ApJ...996...69M,0.89,0.02,0.02,16.0,4.0,3.0,6800,200,200,5.1,0.4,0.6,2026ApJ...996...69M,Gaia DR3 2060960191793682176,HSC 601,
Hyades-WD-J023836+764218,Hyades,39.651744,76.70521,gaiadr3,560883558756079616,y,9.55,0.11,0.11,26400,200,200,2023ApJ...956L..41M,1.317,0.015,0.018,563.0,7.0,20.0,2200,300,300,5.7,2.1,1.4,2026ApJ...996...69M,Gaia DR3  560883558756079616,,Hyades WD1
Hyades-WD-J035200+340726,Hyades,58.00055,34.124162,gaiadr3,218783542413339648,y,8.31,0.05,0.05,14820,350,350,2018ApJ...866...21C,0.8,0.03,0.03,350.0,40.0,20.0,7200,300,300,3.5,0.4,0.3,2026ApJ...996...69M,Gaia DR3  218783542413339648,Hyades WD4,Hyades WD0348+339
Hyades-WD-J035522+094718,Hyades,58.842399,9.788346,gaiadr3,3302846072717868416,y,8.3,0.05,0.05,14670,380,380,2018ApJ...866...21C,0.8,0.03,0.03,360.0,40.0,30.0,7300,300,300,3.6,0.4,0.3,2026ApJ...996...69M,Gaia DR3 3302846072717868416,Hyades WD3,Hyades WD0352+096
Hyades-WD-J040342+145928,Hyades,60.926023,14.991219,gaiadr3,39305036729495936,y,8.25,0.01,0.01,14620,60,60,2018ApJ...866...21C,0.765,0.006,0.006,339.0,6.0,9.0,7560,60,60,3.5,0.3,0.3,2026ApJ...996...69M,Gaia DR3   39305036729495936,Hyades WD2,Hyades HS0400+1451
Hyades-WD-J040929+170754,Hyades,62.37095,17.131677,gaiadr3,45980377978968064,y,8.38,0.05,0.05,15810,290,290,2018ApJ...866...21C,0.85,0.03,0.03,330.0,30.0,20.0,6900,300,300,3.4,0.3,0.3,2026ApJ...996...69M,Gaia DR3   45980377978968064,,Hyades WD0406+169
Hyades-WD-J042355+162114,Hyades,65.982603,16.354077,gaiadr3,3313606340183243136,y,8.13,0.05,0.05,20010,320,320,2018ApJ...866...21C,0.7,0.03,0.03,93.0,16.0,7.0,8300,300,300,2.84,0.14,0.14,2026ApJ...996...69M,Gaia DR3 3313606340183243136,,Hyades WD0421+162
Hyades-WD-J042839+165811,Hyades,67.164686,16.969906,gaiadr3,3313714023603261568,y,8.12,0.05,0.05,25130,380,380,2018ApJ...866...21C,0.7,0.03,0.03,28.0,7.0,2.0,8400,300,300,2.73,0.12,0.12,2026ApJ...996...69M,Gaia DR3 3313714023603261568,,Hyades WD0425+168
